2025-03-19 18:03:56,284 INFO, inst,timestamp,position,pnl
2025-03-19 18:03:56,315 INFO, 757,1423214606389391698,78,-1839.599999999802
2025-03-19 18:03:56,330 INFO, 757,1423215110106314847,100,-4510.0
2025-03-19 18:03:56,340 INFO, 757,1423215641245007226,100,-5215.0
2025-03-19 18:03:56,349 INFO, 757,1423216145051255586,100,-8485.0
2025-03-19 18:03:56,358 INFO, 757,1423216649733983342,100,-13360.0
2025-03-19 18:03:56,368 INFO, 757,1423217150595071120,100,-11945.0
2025-03-19 18:03:56,376 INFO, 757,1423217656002160186,100,-9980.0
2025-03-19 18:03:56,384 INFO, 757,1423218187095096201,100,-7380.0
2025-03-19 18:03:56,393 INFO, 757,1423218705492979904,100,-6475.0
2025-03-19 18:03:56,399 INFO, 757,1423219214535832257,100,-7160.0
2025-03-19 18:03:56,406 INFO, 757,1423219766104512978,100,-7045.0
2025-03-19 18:03:56,412 INFO, 757,1423220323095075860,100,-7045.0
2025-03-19 18:03:56,418 INFO, 757,1423220881845263691,100,-7100.0
2025-03-19 18:03:56,427 INFO, 757,1423221392595106840,100,-5195.0
2025-03-19 18:03:56,434 INFO, 757,1423221908580972212,100,-4225.0
2025-03-19 18:03:56,441 INFO, 757,1423222430120276315,100,-4415.0
2025-03-19 18:03:56,449 INFO, 757,1423222949025974633,100,-3410.0
2025-03-19 18:03:56,457 INFO, 757,1423223458845078083,100,-800.0
2025-03-19 18:03:56,465 INFO, 757,1423223972803799537,100,-4435.0
2025-03-19 18:03:56,472 INFO, 757,1423224485595093524,100,-6410.0
2025-03-19 18:03:56,479 INFO, 757,1423225038854456646,100,-6045.0
2025-03-19 18:03:56,486 INFO, 757,1423225548345094099,100,-6810.0
2025-03-19 18:03:56,492 INFO, 757,1423226100345135548,100,-6620.0
2025-03-19 18:03:56,498 INFO, 757,1423226604075624782,100,-5425.0
2025-03-19 18:03:56,504 INFO, 757,1423227105107303438,100,-6385.0
2025-03-19 18:03:56,511 INFO, 757,1423227625845102989,100,-6290.0
2025-03-19 18:03:56,518 INFO, 757,1423228125870644017,100,-8150.0
2025-03-19 18:03:56,525 INFO, 757,1423228643172643883,100,-6745.0
2025-03-19 18:03:56,531 INFO, 757,1423229159576130724,100,-5405.0
2025-03-19 18:03:56,537 INFO, 757,1423229661345068785,100,-3620.0
2025-03-19 18:03:56,544 INFO, 757,1423230162022849203,100,-5885.0
2025-03-19 18:03:56,551 INFO, 757,1423230668020775340,100,-6475.0
2025-03-19 18:03:56,559 INFO, 757,1423231171095090481,100,-6180.0
2025-03-19 18:03:56,565 INFO, 757,1423231671418191955,100,-5260.0
2025-03-19 18:03:56,572 INFO, 757,1423232180104277747,100,-5470.0
2025-03-19 18:03:56,579 INFO, 757,1423232701202329172,100,-6385.0
2025-03-19 18:03:56,584 INFO, 757,1423233201345100246,100,-5900.0
2025-03-19 18:03:56,591 INFO, 757,1423233707595107255,100,-6485.0
2025-03-19 18:03:56,597 INFO, 757,1423234250595095172,100,-7125.0
2025-03-19 18:03:56,603 INFO, 757,1423234784002379837,100,-8805.0
2025-03-19 18:03:56,614 INFO, 757,1423235286345073221,100,-8900.0
2025-03-19 18:03:56,624 INFO, 757,1423235787916598054,100,-8230.0
2025-03-19 18:03:56,635 INFO, 757,1423236289089534435,100,-10485.0
2025-03-19 18:03:56,642 INFO, 757,1423238255949383558,100,-9220.0
